solar_time,zen,GHI_m,DNI_m,diffuse,dw_ir,temp,rh,pa_hpa,t_a,GHI_c,DNI_c,dhi,cs_period,reno_cs,site,pw_hpa,elev,P_rep,csv2,clr_pct,clr_num,afgl_t0,afgl_p0,x,y,correction,e,tdp,dtdp
2010-09-11 12:27:44.192629920+00:00,44.32,746.5,897.2,76.0,319.6,20.0,37.4,939.0,293.15,732.857152447225,910.1663309263236,81.83846780645115,True,True,FPK,8.727067930391598,634,94042.32409080835,True,0.45476381104883906,4996,291.347,942.626,0.09280596096541767,0.7632856486403243,-0.010781163448100138,0.7534082534758354,278.1688948098382,14.98110519016177
2012-05-10 08:56:22.047161100+00:00,44.09,740.7,899.6,86.6,324.6,20.3,50.0,1004.5,293.45,689.7871878887784,805.185799782668,110.45804452321444,True,True,GWC,11.885672709045204,98,100163.49097716731,True,0.5117691723614275,5268,293.759,1002.122,0.10830626453316657,0.7720616495069359,-0.0017194804187012412,0.7790302552733244,282.6870981594802,10.762901840519817
2012-03-31 11:56:12.285918780+00:00,43.77,762.1,919.6,94.3,290.5,16.8,25.9,930.5,289.95,748.5727222768601,915.0864890118224,87.75117685291718,True,True,FPK,4.945355064363629,634,94042.32409080835,True,0.31922219971642696,4937,291.347,942.626,0.0698619064669175,0.7249258803654283,-0.010781163448100138,0.7154817313898146,270.2697211538388,19.680278846161173
2010-09-18 11:50:02.452044120+00:00,39.06,807.7,866.5,101.3,321.2,18.3,61.5,979.0,291.45,780.6609167415846,870.5272726945814,104.64118427534244,True,True,PSU,12.90821190965936,376,96940.54751667845,True,0.3585371326004039,4457,292.508,971.264,0.11286901552394066,0.7851619017259822,-0.006490677251401261,0.7865724826610738,283.9222245936274,7.527775406372598
2011-10-07 12:48:37.185875160+00:00,47.56,698.6,894.2,94.1,313.2,20.4,43.5,986.7,293.54999999999995,679.2159557794812,880.541583288892,85.31003936978072,True,True,PSU,10.404581378927972,376,96940.54751667845,True,0.487827285254938,4354,292.508,971.264,0.10133372312958895,0.74393216211531,-0.006490677251401261,0.7675046443332105,280.7204644814319,12.829535518568036
2012-05-14 09:21:25.939265880+00:00,38.5,780.7,777.7,159.4,346.5,21.8,60.4,1006.1,294.95,760.6919039677086,821.3883165595079,116.99064842863618,True,True,GWC,15.743523771969436,98,100163.49097716731,True,0.6034515100356406,5331,293.759,1002.122,0.12465010995042596,0.8075130641510387,-0.0017194804187012412,0.8060466317480541,286.9439969246911,8.00600307530891
2011-06-08 06:53:53.272409280+00:00,65.07,367.2,754.4,61.3,313.7,17.7,70.9,955.0,290.85,342.1361536923418,612.9169034103817,82.9319438672448,True,True,SXF,14.330344805071997,437,96247.34687072478,True,0.4512898845892736,5892,292.2335,964.493,0.1189241384588869,0.7731756469672326,-0.007516881020392618,0.79658160087254,285.5038266394445,5.346173360555497
2011-08-28 07:42:56.833256460+00:00,65.76,354.9,715.3,73.1,334.5,18.5,84.5,943.3,291.65,367.4539147742112,756.2542718923005,55.99550396811696,True,True,FPK,17.959372838248626,634,94042.32409080835,True,0.5196387313589582,4761,291.347,942.626,0.13313347779463724,0.8154326925137262,-0.010781163448100138,0.8200696387945353,288.9879483269645,2.662051673035478
2012-05-19 06:52:17.726540880+00:00,68.55,272.5,502.7,107.6,364.9,21.2,78.9,1007.3,294.35,287.35368230461063,575.957579922596,75.79165979018609,True,True,GWC,19.8240334994939,98,100163.49097716731,True,0.4436410826844642,5394,293.759,1002.122,0.13987422886582143,0.8573489553779593,-0.0017194804187012412,0.8312121003152029,290.5427155108883,3.807284489111737
2010-07-01 08:43:02.529332880+00:00,44.75,730.7,928.3,75.1,310.6,19.9,52.1,1002.3,293.04999999999995,651.8186451159978,740.5957202466974,124.99410947073534,True,True,BON,12.082163890045205,213,98817.46387331044,True,0.4772294372294372,5775,293.2415,989.357,0.10919784180725214,0.7428044019898142,-0.00371211861834132,0.7805040325073878,282.93152848886734,10.118471511132611
2012-03-23 13:50:34.854455940+00:00,48.9,703.2,934.0,79.9,298.0,18.6,37.0,958.0,291.75,659.2699225099279,870.8127820107732,87.55032565622423,True,True,SXF,7.913248503960267,437,96247.34687072478,True,0.2818354030730373,4751,292.2335,964.493,0.08837289779035237,0.7254587537130749,-0.007516881020392618,0.7460804000474525,276.7706254772303,14.979374522769717
2010-10-14 13:46:41.300867880+00:00,57.32,560.3,890.2,79.1,292.1,19.4,27.4,961.5,292.54999999999995,522.5396956090789,834.5151021827166,72.54867762728526,True,True,SXF,6.15996209025315,437,96247.34687072478,True,0.6743354925173107,4477,292.2335,964.493,0.07797057078769808,0.7033493127574366,-0.007516881020392618,0.728885353512065,273.26370701523314,19.286292984766817
2012-05-15 09:09:30.242976420+00:00,45.15,724.1,849.5,109.8,290.3,16.4,33.8,949.1,289.54999999999995,702.2175096785114,860.7547613152882,94.3527342027354,True,True,FPK,6.29181523672587,634,94042.32409080835,True,0.462076018408045,5867,291.347,942.626,0.07880062719930013,0.7284381437648297,-0.010781163448100138,0.7302574367604431,273.55638005289734,15.993619947102616
2011-05-25 15:57:00.550807560+00:00,54.02,587.4,842.9,97.8,285.2,16.2,30.3,946.3,289.35,561.0019725212611,819.6272849559743,80.41074514854625,True,True,FPK,5.568906010693446,634,94042.32409080835,True,0.1794571372778754,5121,291.347,942.626,0.07413557116599302,0.7176215874288907,-0.010781163448100138,0.7225460991373864,271.8793570841089,17.47064291589112
