Pw/Patm,H2O,H2O+CO2,H2O+CO2+O3,+aerosols,+N2O,+CH4,+O2,+N2,+Overlap
0.00123,8.9365099487727000E-02,8.8409407064142200E-02,8.7442494153989800E-02,8.7015049943889100E-02,8.3086389724486700E-02,8.3087721383741000E-02,8.3087725501289000E-02,8.3087656334557600E-02,8.2590489956162600E-02
0.00246,8.9070128527709900E-02,8.8216442974811800E-02,8.7312961188420800E-02,8.6935347211224600E-02,8.3085988119555600E-02,8.3086177593377200E-02,8.3086178270928700E-02,8.3086109762539600E-02,8.2610547412141400E-02
0.00369,8.8602768953583200E-02,8.7819668338398800E-02,8.6964800668518300E-02,8.6622683001544000E-02,8.2843469957895100E-02,8.2843526005893800E-02,8.2843526257716500E-02,8.2843458436053400E-02,8.2385458303622700E-02
0.00492,8.8171913313798600E-02,8.7444560095828900E-02,8.6630564822521300E-02,8.6315152138355700E-02,8.2600456620458100E-02,8.2600481953982600E-02,8.2600482082308500E-02,8.2600414961967500E-02,8.2157679534213400E-02
0.00614,8.7787882955320500E-02,8.7107287213214600E-02,8.6329023927598100E-02,8.6035875934004100E-02,8.2380958989592600E-02,8.2380973272696500E-02,8.2380973348906400E-02,8.2380906925789900E-02,8.1951768811151000E-02
0.00737,8.7442939326595900E-02,8.6803021300028300E-02,8.6056841360190900E-02,8.5783127759968200E-02,8.2184437942826800E-02,8.2184446962059100E-02,8.2184447011401900E-02,8.2184381281721800E-02,8.1767611965281600E-02
0.0086,8.7127980219067300E-02,8.6524384865749700E-02,8.5807646570326700E-02,8.5550705039586900E-02,8.2006084615942900E-02,8.2006090671060300E-02,8.2006090704766800E-02,8.2006025676022900E-02,8.1600756220207900E-02
0.00983,8.6837280757678200E-02,8.6266649122552900E-02,8.5577275608961400E-02,8.5335026748987400E-02,8.1842848279150600E-02,8.1842852483450800E-02,8.1842852507304500E-02,8.1842788187841300E-02,8.1448330945170400E-02
0.0111,8.6566844028576800E-02,8.6026458036729800E-02,8.5362733483459900E-02,8.5133613049609600E-02,8.1692491181412800E-02,8.1692494147018100E-02,8.1692494164315200E-02,8.1692430560638400E-02,8.1308203478311700E-02
0.0123,8.6313702459219800E-02,8.5801290582385700E-02,8.5161758340298300E-02,8.4944635348560000E-02,8.1553343086751200E-02,8.1553345180762600E-02,8.1553345193525800E-02,8.1553282310316900E-02,8.1178781152321200E-02
0.0135,8.6075359108141900E-02,8.5588984919486900E-02,8.4972389531162700E-02,8.4766338987672500E-02,8.1423823519505600E-02,8.1423824976792800E-02,8.1423824986333500E-02,8.1423762827800800E-02,8.1058548520170800E-02
0.0147,8.5849962563853400E-02,8.5387939091975800E-02,8.4793175663836300E-02,8.4597504597686000E-02,8.1302818671465600E-02,8.1302819650100700E-02,8.1302819657304700E-02,8.1302758226673100E-02,8.0946440463484300E-02
0.016,8.5635955885851100E-02,8.5196792200548500E-02,8.4622874880362100E-02,8.4437011826586900E-02,8.1189301311442100E-02,8.1189301922348200E-02,8.1189301927832800E-02,8.1189241227812800E-02,8.0841471111391200E-02
0.0172,8.5431755199542900E-02,8.5014134457742000E-02,8.4460198438642600E-02,8.4283555178519100E-02,8.1082190914711900E-02,8.1082191238466000E-02,8.1082191242670800E-02,8.1082131277657800E-02,8.0742607084108900E-02
0.0184,8.5235709307480700E-02,8.4838470143033200E-02,8.4303769120067400E-02,8.4135613261269400E-02,8.0980292386451100E-02,8.0980292483333100E-02,8.0980292486577000E-02,8.0980233266851200E-02,8.0648737038942900E-02
0.0197,8.5047096447398600E-02,8.4669174345172500E-02,8.4153017607246800E-02,8.3992716914483200E-02,8.0883133225638100E-02,8.0883133141732700E-02,8.0883133144249900E-02,8.0883074676980500E-02,8.0559376628986300E-02
0.0209,8.4863396247430900E-02,8.4503897127183300E-02,8.4005771091525000E-02,8.3852130755232300E-02,8.0788873828961700E-02,8.0788873600426600E-02,8.0788873602390800E-02,8.0788815909987100E-02,8.0472825535435400E-02
0.0221,8.4684851048566900E-02,8.4342905859233000E-02,8.3862272215705200E-02,8.3714433639698300E-02,8.0697742784620700E-02,8.0697742440023300E-02,8.0697742441564600E-02,8.0697685538817300E-02,8.0389268650455400E-02
0.0233,8.4510597391047900E-02,8.4185414197079400E-02,8.3721798233962400E-02,8.3578842037488200E-02,8.0609189224405000E-02,8.0609188786683000E-02,8.0609188787899100E-02,8.0609132690909800E-02,8.0308167746038600E-02
0.0246,8.4339571880990700E-02,8.4030403900277100E-02,8.3583352589777300E-02,8.3444019071282900E-02,8.0522129247162200E-02,8.0522128737452000E-02,8.0522128738426400E-02,8.0522073469662700E-02,8.0228509089940600E-02
