Pw/Patm,H2O,H2O+CO2,H2O+CO2+O3,+aerosols,+N2O,+CH4,+O2,+N2,+Overlap
0.00123,0.0134071309911467000,0.0028339934960544300,0.0028334708465555000,0.0028031850490134600,0.0025766978378311800,0.0025766807277528400,0.0025766807277528400,0.0025763416342062300,0.0024015133871891600
0.00246,0.0133466379424298000,0.0028166087611057700,0.0028160955881279800,0.0027862915645920900,0.0025650170524319600,0.0025650003900009300,0.0025650003900009300,0.0025646620326008900,0.0023938165027364700
0.00369,0.0132880859332049000,0.0028010789023287200,0.0028005742194566700,0.0027712043724679900,0.0025545124651335700,0.0025544961745940200,0.0025544961745940200,0.0025541586308801800,0.0023867893279406200
0.00492,0.0132305813694799000,0.0027868839262852600,0.0027863869858733700,0.0027574162771741800,0.0025448658620965700,0.0025448498882273600,0.0025448498882273600,0.0025445132365846200,0.0023802814344671300
0.00614,0.0131762100424199000,0.0027738803642845900,0.0027733904711603200,0.0027448962155869600,0.0025361174109533100,0.0025361017090441800,0.0025361017090441800,0.0025357659557895300,0.0023743906234155000
0.00737,0.0131240890006435000,0.0027618045028115900,0.0027613211070145700,0.0027333714025605600,0.0025280843166087600,0.0025280688524022400,0.0025280688524022400,0.0025277340175940400,0.0023690037620117700
0.0086,0.0130715101837488000,0.0027503175561620800,0.0027498402933528500,0.0027224139011896100,0.0025204351188614300,0.0025204198680489500,0.0025204198680489500,0.0025200860333849700,0.0023638698129237300
0.00983,0.0130180228303415000,0.0027392814362512200,0.0027388100176604400,0.0027118805393092700,0.0025130689729548200,0.0025130539166878000,0.0025130539166878000,0.0025127211682723300,0.0023589221233212900
0.0111,0.0129638037852130000,0.0027286299363606200,0.0027281641111142200,0.0027017200758084700,0.0025059571643252900,0.0025059422872829400,0.0025059422872829400,0.0025056107002695900,0.0023541460316511100
0.0123,0.0129090749424956000,0.0027183175788556500,0.0027178571263825000,0.0026919045935204700,0.0024990877199672700,0.0024990730094863700,0.0024990730094863700,0.0024987426492662900,0.0023495409828563500
0.0135,0.0128538465360481000,0.0027082962263924300,0.0027078409549487300,0.0026823907785572500,0.0024924317777612700,0.0024924172234071500,0.0024924172234071500,0.0024920881502358700,0.0023450877794600800
0.0147,0.0127982429799666000,0.0026985359800536400,0.0026980857200105600,0.0026731596175859400,0.0024859801940510800,0.0024859657870612500,0.0024859657870612500,0.0024856380552502300,0.0023407846823738100
0.016,0.0127423826020331000,0.0026890125917508200,0.0026885671864193100,0.0026641963447868500,0.0024797247482822400,0.0024797104810623100,0.0024797104810623100,0.0024793841362681900,0.0023366313668031600
0.0172,0.0126857678344196000,0.0026796651632061300,0.0026792244985186200,0.0026554206372275800,0.0024736018312535000,0.0024735876981044900,0.0024735876981044900,0.0024732628001739800,0.0023325729944441800
0.0184,0.0126277338591479000,0.0026704325803805000,0.0026699965556781500,0.0026467725879026800,0.0024675612859434400,0.0024675472818907400,0.0024675472818907400,0.0024672238885828900,0.0023285987638504500
0.0197,0.0125684058620121000,0.0026612975505406400,0.0026608661012517100,0.0026382159610115900,0.0024615770531154800,0.0024615631747368800,0.0024615631747368800,0.0024612413570494900,0.0023246597436352100
0.0209,0.0125045329237273000,0.0026520409963176400,0.0026516141757430200,0.0026294349957366000,0.0024553819702432300,0.0024553682178394600,0.0024553682178394600,0.0024550481215306500,0.0023205531822257300
0.0221,0.0124374095182139000,0.0026427305168481200,0.0026423083463263300,0.0026205323418991300,0.0024490630074499100,0.0024490493807185800,0.0024490493807185800,0.0024487311215145800,0.0023163416100173200
0.0233,0.0123660510840841000,0.0026332974506935300,0.0026328800161801900,0.0026113888121529000,0.0024425231349866700,0.0024425096357946700,0.0024425096357946700,0.0024421933675642300,0.0023119174770098200
0.0246,0.0122893751022989000,0.0026236605899503500,0.0026232479788949900,0.0026018977119863400,0.0024356602276444400,0.0024356468582635300,0.0024356468582635300,0.0024353327349315400,0.0023072335615330100
