Pw/Patm,H2O,H2O+CO2,H2O+CO2+O3,+aerosols,+N2O,+CH4,+O2,+N2,+Overlap
0.00123,0.068344857,0.080774356,0.09379712,0.108306125,0.112195986,0.117836921,0.117836921,0.117836921,0.120730071
0.00246,0.081043185,0.09284131,0.10561589,0.119522395,0.122847319,0.127517302,0.127517302,0.127517302,0.130071848
0.00369,0.091588816,0.102786649,0.115305326,0.1286721,0.131620902,0.135702047,0.135702047,0.135702047,0.138012181
0.00492,0.101540691,0.112137319,0.124381032,0.137216098,0.139876977,0.143533322,0.143533322,0.143533322,0.145643037
0.00614,0.111358948,0.121347482,0.133299081,0.145579082,0.148004602,0.151326469,0.151326469,0.151326469,0.153262786
0.00737,0.121220922,0.130598668,0.142240642,0.153944888,0.156170053,0.15921378,0.15921378,0.15921378,0.160995569
0.0086,0.131194138,0.139965032,0.151278663,0.162403465,0.164453216,0.167256895,0.167256895,0.167256895,0.168898427
0.00983,0.141274077,0.149447463,0.160416214,0.170962765,0.17285613,0.175447465,0.175447465,0.175447465,0.176960427
0.0111,0.15142323,0.159013251,0.169623899,0.179593836,0.181346049,0.183746349,0.183746349,0.183746349,0.185140829
0.0123,0.161593477,0.168618609,0.178860796,0.188257888,0.189881552,0.192107913,0.192107913,0.192107913,0.193392854
0.0135,0.171730794,0.17821306,0.188079491,0.196908591,0.198414417,0.200481052,0.200481052,0.200481052,0.201664568
0.0147,0.181782641,0.187746945,0.197232854,0.205500977,0.206898261,0.208817327,0.208817327,0.208817327,0.209906859
0.016,0.191695404,0.197168534,0.206272557,0.213985859,0.215282836,0.217064982,0.217064982,0.217064982,0.218067467
0.0172,0.201430831,0.206441286,0.215162693,0.222335034,0.223539001,0.22519369,0.22519369,0.22519369,0.226115495
0.0184,0.210945243,0.215521066,0.223864931,0.230511218,0.231628818,0.233164496,0.233164496,0.233164496,0.234011712
0.0197,0.22021184,0.224382547,0.232351676,0.238493322,0.239530531,0.24095498,0.24095498,0.24095498,0.241733136
0.0209,0.229230773,0.233025128,0.24062118,0.246306382,0.24726849,0.248588699,0.248588699,0.248588699,0.249302771
0.0221,0.237960976,0.241407621,0.248634387,0.253896701,0.254788716,0.256011359,0.256011359,0.256011359,0.256666089
0.0233,0.246403323,0.249530016,0.256388705,0.261277823,0.262104276,0.263235583,0.263235583,0.263235583,0.263835218
0.0246,0.254488636,0.257322782,0.263821111,0.268375356,0.269140773,0.270186895,0.270186895,0.270186895,0.270735761
