,pw,H2O,pCO2,pO3,paerosols,pN2O,pCH4,pO2,pN2,poverlaps
0,0.001,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
1,0.0010678970527808565,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
2,0.0011404041153380404,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
3,0.001217834193748653,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
4,0.001300521546279937,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
5,0.0013888231263503483,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
6,0.0014831201234634319,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
7,0.0015838196087665788,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
8,0.0016913562923383584,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
9,0.0018061943997904914,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
10,0.0019288296762855536,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
11,0.0020597915266215958,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
12,0.0021996453006221856,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
13,0.0023489947336976925,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
14,0.0025084845531135186,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
15,0.0026788032612162327,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
16,0.0028606861076325616,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
17,0.003054918263271952,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
18,0.0032623382098345335,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
19,0.0034838413594566733,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
20,0.0037203839201198335,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
21,0.003972987023509263,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
22,0.004242741133142129,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
23,0.004530810751794591,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
24,0.0048384394485492645,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
25,0.0051669552271643914,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
26,0.005517776258939494,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
27,0.005892417004825672,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
28,0.006292494753209136,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
29,0.006719736601591038,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
30,0.007175986912302724,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
31,0.007663215274442077,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
32,0.008183525006401935,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
33,0.008739162235695066,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
34,0.00933252559527252,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
35,0.009966176578193443,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
36,0.010642850595346377,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
37,0.011365468783957385,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
38,0.012137150617860921,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
39,0.012961227373971028,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
40,0.013841256513086226,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
41,0.014781037037108622,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
42,0.01578462588897298,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
43,0.01685635546608266,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
44,0.01800085232285616,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
45,0.019223057143121523,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
46,0.020528246068577474,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
47,0.021922053475394086,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725,0.1725
