Pw/Patm,H2O,H2O+CO2,H2O+CO2+O3,+aerosols,+N2O,+CH4,+O2,+N2,+Overlap
0.00123,0.131861159,0.133561301,0.133561468,0.135423985,0.135865907,0.135865908,0.135865908,0.135865908,0.136024945
0.00246,0.155010021,0.156022878,0.156022985,0.156984607,0.15725496,0.15725496,0.15725496,0.15725496,0.157345132
0.00369,0.166070971,0.166712333,0.166712403,0.167270719,0.167445419,0.167445419,0.167445419,0.167445419,0.16749956
0.00492,0.172351214,0.172766683,0.17276673,0.173107334,0.173222399,0.173222399,0.173222399,0.173222399,0.173255643
0.00614,0.176220344,0.176491653,0.176491684,0.176706234,0.176782399,0.176782399,0.176782399,0.176782399,0.176802981
0.00737,0.178707886,0.178885274,0.178885294,0.179022801,0.179073135,0.179073135,0.179073135,0.179073135,0.179085892
0.0086,0.180345669,0.180461414,0.180461427,0.180549978,0.180583077,0.180583077,0.180583077,0.180583077,0.180590961
0.00983,0.181440338,0.18151559,0.181515598,0.181572693,0.181594308,0.181594308,0.181594308,0.181594308,0.181599155
0.0111,0.182180211,0.182228944,0.182228949,0.182265844,0.182279851,0.182279851,0.182279851,0.182279851,0.182282808
0.0123,0.182685367,0.182716832,0.182716835,0.182740738,0.182749746,0.182749746,0.182749746,0.182749746,0.182751535
0.0135,0.183034262,0.183054558,0.18305456,0.18307016,0.183075915,0.183075915,0.183075915,0.183075915,0.183076987
0.0147,0.183278609,0.18329173,0.183291731,0.183302003,0.183305663,0.183305663,0.183305663,0.183305663,0.183306299
0.016,0.183452831,0.183461372,0.183461373,0.183468284,0.183470608,0.183470608,0.183470608,0.183470608,0.183470983
0.0172,0.183579669,0.1835853,0.1835853,0.183590037,0.183591518,0.183591518,0.183591518,0.183591518,0.183591736
0.0184,0.183674454,0.183678236,0.183678237,0.183681709,0.183682661,0.183682661,0.183682661,0.183682661,0.183682787
0.0197,0.183747008,0.183749616,0.183749616,0.183752216,0.183752839,0.183752839,0.183752839,0.183752839,0.183752912
0.0209,0.183804096,0.183805952,0.183805952,0.183807978,0.183808396,0.183808396,0.183808396,0.183808396,0.183808438
0.0221,0.183850123,0.183851492,0.183851492,0.183853095,0.183853385,0.183853385,0.183853385,0.183853385,0.18385341
0.0233,0.183888113,0.183889158,0.183889158,0.183890469,0.183890679,0.183890679,0.183890679,0.183890679,0.183890693
0.0246,0.183918988,0.183919814,0.183919814,0.183920903,0.18392106,0.18392106,0.18392106,0.18392106,0.183921069
