Pw/Patm,H2O,H2O+CO2,H2O+CO2+O3,+aerosols,+N2O,+CH4,+O2,+N2,+Overlap
0.00123,0.009752904,0.008703827,0.008703073,0.008182579,0.007895985,0.00785956,0.00785956,0.007856435,0.007832364
0.00246,0.009749036,0.008700493,0.00869974,0.008179714,0.007893257,0.007856845,0.007856845,0.007853722,0.007829615
0.00369,0.009743723,0.008695905,0.008695152,0.00817577,0.0078895,0.007853109,0.007853109,0.007849987,0.007825834
0.00492,0.009736963,0.008690063,0.008689311,0.008170747,0.007884717,0.007848351,0.007848351,0.007845233,0.007821024
0.00614,0.009730915,0.008684903,0.008684151,0.00816846,0.007882655,0.007846313,0.007846313,0.007843197,0.007818951
0.00737,0.00972524,0.008680109,0.008679357,0.008168273,0.007882685,0.007846367,0.007846367,0.007843253,0.00781898
0.0086,0.009718055,0.008674007,0.008673256,0.008166889,0.007881574,0.007845285,0.007845285,0.007842175,0.007817871
0.00983,0.009709198,0.008666461,0.008665712,0.008164038,0.007879057,0.007842806,0.007842806,0.007839699,0.007815365
0.0111,0.00969897,0.008657745,0.008656997,0.008160249,0.007875653,0.007839447,0.007839447,0.007836345,0.007811982
0.0123,0.009687671,0.008648123,0.008647376,0.008156031,0.007871863,0.007835707,0.007835707,0.007832609,0.007808224
0.0135,0.009675409,0.008637707,0.008636962,0.008151601,0.007867904,0.007831802,0.007831802,0.00782871,0.00780431
0.0147,0.00966237,0.00862666,0.008625916,0.008147267,0.007864076,0.007828033,0.007828033,0.007824947,0.007800542
0.016,0.009648706,0.008615168,0.008614425,0.008143414,0.007860772,0.007824794,0.007824794,0.007821714,0.007797331
0.0172,0.009634082,0.008602888,0.008602146,0.008139322,0.007857273,0.007821365,0.007821365,0.007818291,0.007793941
0.0184,0.009617914,0.008589624,0.008588884,0.008134791,0.007853477,0.007817658,0.007817658,0.007814592,0.007790377
0.0197,0.00960042,0.008575287,0.008574549,0.008129458,0.007848947,0.007813225,0.007813225,0.007810166,0.007786102
0.0209,0.009578868,0.008557611,0.008556875,0.008118954,0.007839444,0.007803843,0.007803843,0.007800794,0.007776931
0.0221,0.009554343,0.008537462,0.008536728,0.008104917,0.007826546,0.007791084,0.007791084,0.007788047,0.007764424
0.0233,0.009526104,0.00851394,0.00851321,0.008085396,0.007808258,0.007772948,0.007772948,0.007769923,0.007746492
0.0246,0.009493086,0.008486499,0.008485772,0.008059454,0.00778379,0.007748661,0.007748661,0.007745651,0.007722495
