Pw/Patm,H2O,H2O+CO2,H2O+CO2+O3,+aerosols,+N2O,+CH4,+O2,+N2,+Overlap
0.00123,0.17136036,0.171360362,0.171360416,0.171334351,0.171334352,0.171334352,0.171334396,0.171334396,0.1713344
0.00246,0.172178257,0.172178258,0.172178259,0.172134096,0.172134096,0.172134096,0.172134099,0.172134099,0.172134099
0.00369,0.172307663,0.172307663,0.172307663,0.172260895,0.172260895,0.172260895,0.172260895,0.172260895,0.172260895
0.00492,0.172350308,0.172350308,0.172350308,0.172302652,0.172302652,0.172302652,0.172302652,0.172302652,0.172302652
0.00614,0.172371661,0.172371661,0.172371661,0.172323521,0.172323521,0.172323521,0.172323521,0.172323521,0.172323521
0.00737,0.172384518,0.172384518,0.172384518,0.172336065,0.172336065,0.172336065,0.172336065,0.172336065,0.172336065
0.0086,0.172392998,0.172392998,0.172392998,0.172344328,0.172344328,0.172344328,0.172344328,0.172344328,0.172344328
0.00983,0.172398913,0.172398913,0.172398913,0.172350087,0.172350087,0.172350087,0.172350087,0.172350087,0.172350087
0.0111,0.172403202,0.172403202,0.172403202,0.172354261,0.172354261,0.172354261,0.172354261,0.172354261,0.172354261
0.0123,0.172406397,0.172406397,0.172406397,0.17235737,0.17235737,0.17235737,0.17235737,0.17235737,0.17235737
0.0135,0.172408824,0.172408824,0.172408824,0.172359731,0.172359731,0.172359731,0.172359731,0.172359731,0.172359731
0.0147,0.17241069,0.17241069,0.17241069,0.172361546,0.172361546,0.172361546,0.172361546,0.172361546,0.172361546
0.016,0.172412137,0.172412137,0.172412137,0.172362952,0.172362952,0.172362952,0.172362952,0.172362952,0.172362952
0.0172,0.172413263,0.172413263,0.172413263,0.172364046,0.172364046,0.172364046,0.172364046,0.172364046,0.172364046
0.0184,0.172414142,0.172414142,0.172414142,0.172364899,0.172364899,0.172364899,0.172364899,0.172364899,0.172364899
0.0197,0.172414826,0.172414826,0.172414826,0.172365562,0.172365562,0.172365562,0.172365562,0.172365562,0.172365562
0.0209,0.172415359,0.172415359,0.172415359,0.172366077,0.172366077,0.172366077,0.172366077,0.172366077,0.172366077
0.0221,0.172415772,0.172415772,0.172415772,0.172366476,0.172366476,0.172366476,0.172366476,0.172366476,0.172366476
0.0233,0.172416091,0.172416091,0.172416091,0.172366783,0.172366783,0.172366783,0.172366783,0.172366783,0.172366783
0.0246,0.172416326,0.172416326,0.172416326,0.172367007,0.172367007,0.172367007,0.172367007,0.172367007,0.172367007
