,pw,H2O,pCO2,pO3,paerosols,pN2O,pCH4,pO2,pN2,poverlaps
0,0.001,0.4662188480673166,0.5952020228049208,0.6076485663611525,0.6246770227632775,0.6293589831930396,0.6357228649948783,0.6357228649948783,0.6357228649948783,0.6701835894723255
1,0.0010678970527808565,0.4704124995954946,0.5974663849111221,0.6099006209780241,0.6268440839656844,0.6314349530764698,0.6377044707418108,0.6377044707418108,0.6377044707418108,0.6718083924260322
2,0.0011404041153380404,0.47471170168619176,0.5998130800687195,0.6122340215629872,0.6290890039392395,0.6335887811326576,0.6397634436749426,0.6397634436749426,0.6397634436749426,0.6735034659452809
3,0.001217834193748653,0.4791191109552887,0.602244485488743,0.6146510661611737,0.6314139376527834,0.6358226223304346,0.6419019362084505,0.6419019362084505,0.6419019362084505,0.6752708212961804
4,0.001300521546279937,0.48363745088337795,0.6047630418845124,0.6171541099707539,0.6338210913579146,0.6381386829213994,0.6441221520259857,0.6441221520259857,0.6441221520259857,0.6771125182069537
5,0.0013888231263503483,0.48826951349869063,0.6073712551141,0.6197455664761787,0.6363127234813792,0.6405392213322909,0.6464263469729791,0.6464263469729791,0.6464263469729791,0.6790306657044047
6,0.0014831201234634319,0.49301816110238017,0.6100716978646632,0.6224279085824493,0.6388911455086074,0.6430265490485375,0.6488168299401198,0.6488168299401198,0.6488168299401198,0.6810274229404504
7,0.0015838196087665788,0.49788632803723176,0.6128670113797099,0.6252036697482047,0.6415587228557793,0.6456030314863177,0.6512959637353467,0.6512959637353467,0.6512959637353467,0.6831050000060314
8,0.0016913562923383584,0.5028770225008868,0.6157599072303803,0.6280754451151715,0.6443178757275445,0.6482710888502721,0.6538661659414894,0.6538661659414894,0.6538661659414894,0.6852656587295182
9,0.0018061943997904914,0.5079933284047058,0.6187531691318624,0.6310458926312705,0.647171079957249,0.6510331969737448,0.6565299097564399,0.6565299097564399,0.6565299097564399,0.6875117134564691
10,0.0019288296762855536,0.5132384072794164,0.6218496548060817,0.6341177341643938,0.6501208678262266,0.6538918881380681,0.6592897248123654,0.6592897248123654,0.6592897248123654,0.6898455318072277
11,0.0020597915266215958,0.5186155002287258,0.6250522978918388,0.6372937566035649,0.653169828858391,0.6568497518671467,0.662148197970222,0.662148197970222,0.662148197970222,0.6922695354085966
12,0.0021996453006221856,0.5241279299321038,0.6283641099035933,0.6405768129438639,0.6563206105860143,0.6599094356932543,0.665107974085479,0.665107974085479,0.665107974085479,0.6947862005954704
13,0.0023489947336976925,0.5297791026979723,0.6317881822401263,0.6439698233511468,0.6595759192822056,0.6630736458894931,0.6681717567405064,0.6681717567405064,0.6681717567405064,0.6973980590778586
14,0.0025084845531135186,0.5355725105685752,0.6353276882443457,0.6474757762021999,0.6629385206551937,0.6663451481640901,0.6713423089387992,0.6713423089387992,0.6713423089387992,0.7001076985684443
15,0.0026788032612162327,0.5415117334778232,0.6389858853155255,0.6510977290955522,0.666411240499076,0.6697267683111338,0.6746224537556406,0.6746224537556406,0.6746224537556406,0.7029177633652569
16,0.0028606861076325616,0.5476004414634503,0.6427661170753074,0.6548388098277131,0.6699969652952207,0.6732213928119941,0.6780150749394491,0.6780150749394491,0.6780150749394491,0.7058309548836746
17,0.003054918263271952,0.5538423969348496,0.6466718155888259,0.6587022173291119,0.6736986427579906,0.6768319693810269,0.6815231174574092,0.6815231174574092,0.6815231174574092,0.7088500321313334
18,0.0032623382098345335,0.5602414569979867,0.6507065036423495,0.6626912225534787,0.6775192823178993,0.6805615074487419,0.6851495879785657,0.6851495879785657,0.6851495879785657,0.711977812119091
19,0.0034838413594566733,0.5668015758388307,0.6548737970788707,0.6668091693138348,0.6814619555347087,0.6844130785748977,0.6888975552868438,0.6888975552868438,0.6888975552868438,0.715217170200484
20,0.0037203839201198335,0.5735268071667737,0.6591774071931076,0.6710594750576224,0.6855297964323157,0.6883898167833877,0.6927701506158606,0.6927701506158606,0.6927701506158606,0.7185710403315118
21,0.003972987023509263,0.580421306719548,0.6636211431874216,0.6754456315728348,0.6897260017465768,0.6924949188100648,0.6967705678966744,0.6967705678966744,0.6967705678966744,0.7220424152418662
22,0.004242741133142129,0.5874893348311909,0.6682089146901942,0.679971205616268,0.6940538310764496,0.696731644253881,0.7009020639088497,0.7009020639088497,0.7009020639088497,0.7256343465079557
23,0.004530810751794591,0.5947352590646438,0.6729447343382372,0.6846398394542166,0.6985166069280034,0.7011033156209042,0.7051679583243965,0.7051679583243965,0.7051679583243965,0.7293499445172509
24,0.0048384394485492645,0.6021635569106092,0.6778327204248624,0.6894552513050772,0.7031177146399594,0.7056133182498483,0.7095716336332253,0.7095716336332253,0.7095716336332253,0.7331923783125629
25,0.0051669552271643914,0.6097788185543369,0.6828770996152644,0.6944212356723848,0.7078606021784483,0.7102651001068422,0.7141165349378389,0.7141165349378389,0.7141165349378389,0.7371648753039444
26,0.005517776258939494,0.6175857497120492,0.6880822097309269,0.6995416635558023,0.7127487797876371,0.7150621714360494,0.7188061696038751,0.7188061696038751,0.7188061696038751,0.7412707208347941
27,0.005892417004825672,0.6255891745387531,0.6934525026047886,0.7048204825264786,0.7177858194817324,0.7200081042516695,0.7236441067520301,0.7236441067520301,0.7236441067520301,0.7455132575876628
28,0.006292494753209136,0.6337940386092429,0.6989925470089666,0.7102617166520165,0.7229753543626596,0.7251065316556278,0.7286339765756711,0.7286339765756711,0.7286339765756711,0.7498958848140371
