,pw,H2O,pCO2,pO3,paerosols,pN2O,pCH4,pO2,pN2,poverlaps
0,0.001,0.03702000029042063,0.15372988451062902,0.15372988451062902,0.153829884510629,0.153929884510629,0.153929884510629,0.153929884510629,0.153929884510629,0.16382525628153483
1,0.0010678970527808565,0.03928145700312624,0.1541424218977311,0.1541424218977311,0.1542424218977311,0.1543424218977311,0.1543424218977311,0.1543424218977311,0.1543424218977311,0.16401355998954195
2,0.0011404041153380404,0.041562009326532756,0.15455578293788236,0.15455578293788236,0.15465578293788235,0.15475578293788234,0.15475578293788234,0.15475578293788234,0.15475578293788234,0.16420268440453883
3,0.001217834193748653,0.043861818502880956,0.15496994830057936,0.15496994830057936,0.15506994830057935,0.15516994830057934,0.15516994830057934,0.15516994830057934,0.15516994830057934,0.164392610195983
4,0.001300521546279937,0.04618104713593202,0.15538489823232768,0.15538489823232768,0.15548489823232767,0.15558489823232766,0.15558489823232766,0.15558489823232766,0.15558489823232766,0.16458331761033737
5,0.0013888231263503483,0.04851985920246388,0.1558006125505029,0.1558006125505029,0.1559006125505029,0.15600061255050288,0.15600061255050288,0.15600061255050288,0.15600061255050288,0.164774786464942
6,0.0014831201234634319,0.05087842006386495,0.15621707063713464,0.15621707063713464,0.15631707063713463,0.15641707063713461,0.15641707063713461,0.15641707063713461,0.15641707063713461,0.1649669961417839
7,0.0015838196087665788,0.05325689647782578,0.1566342514326122,0.1566342514326122,0.1567342514326122,0.15683425143261218,0.15683425143261218,0.15683425143261218,0.15683425143261218,0.16515992558122036
8,0.0016913562923383584,0.05565545661012927,0.15705213342931165,0.15705213342931165,0.15715213342931164,0.15725213342931163,0.15725213342931163,0.15725213342931163,0.15725213342931163,0.1653535532755813
9,0.0018061943997904914,0.05807427004654059,0.15747069466514244,0.15747069466514244,0.15757069466514242,0.1576706946651424,0.1576706946651424,0.1576706946651424,0.1576706946651424,0.16554785726274415
10,0.0019288296762855536,0.060513507804797195,0.15788991271701355,0.15788991271701355,0.15798991271701354,0.15808991271701353,0.15808991271701353,0.15808991271701353,0.15808991271701353,0.16574281511957176
11,0.0020597915266215958,0.06297334234670071,0.15830976469421773,0.15830976469421773,0.15840976469421772,0.1585097646942177,0.1585097646942177,0.1585097646942177,0.1585097646942177,0.16593840395532486
12,0.0021996453006221856,0.06545394759031026,0.1587302272317327,0.1587302272317327,0.15883022723173268,0.15893022723173267,0.15893022723173267,0.15893022723173267,0.15893022723173267,0.16613460040493855
13,0.0023489947336976925,0.06795549892223901,0.159151276483439,0.159151276483439,0.15925127648343898,0.15935127648343897,0.15935127648343897,0.15935127648343897,0.15935127648343897,0.16633138062225786
14,0.0025084845531135186,0.07047817321005467,0.15957288811525266,0.15957288811525266,0.15967288811525265,0.15977288811525264,0.15977288811525264,0.15977288811525264,0.15977288811525264,0.16652872027315974
15,0.0026788032612162327,0.07302214881478453,0.15999503729817285,0.15999503729817285,0.16009503729817284,0.16019503729817283,0.16019503729817283,0.16019503729817283,0.16019503729817283,0.1667265945286007
16,0.0028606861076325616,0.07558760560352623,0.16041769870124215,0.16041769870124215,0.16051769870124213,0.16061769870124212,0.16061769870124212,0.16061769870124212,0.16061769870124212,0.1669249780575878
17,0.003054918263271952,0.07817472496216465,0.16084084648441926,0.16084084648441926,0.16094084648441925,0.16104084648441924,0.16104084648441924,0.16104084648441924,0.16104084648441924,0.16712384502004068
18,0.0032623382098345335,0.080783689808197,0.16126445429136355,0.16126445429136355,0.16136445429136353,0.16146445429136352,0.16146445429136352,0.16146445429136352,0.16146445429136352,0.1673231690595796
19,0.0034838413594566733,0.08341468460366502,0.16168849524212894,0.16168849524212894,0.16178849524212893,0.16188849524212892,0.16188849524212892,0.16188849524212892,0.16188849524212892,0.16752292329621946
20,0.0037203839201198335,0.08606789536819753,0.16211294192576767,0.16211294192576767,0.16221294192576766,0.16231294192576765,0.16231294192576765,0.16231294192576765,0.16231294192576765,0.16772308031897334
21,0.003972987023509263,0.08874350969216244,0.16253776639284198,0.16253776639284198,0.16263776639284197,0.16273776639284196,0.16273776639284196,0.16273776639284196,0.16273776639284196,0.16792361217836801
22,0.004242741133142129,0.09144171674992979,0.1629629401478428,0.1629629401478428,0.16306294014784278,0.16316294014784277,0.16316294014784277,0.16316294014784277,0.16316294014784277,0.16812449037885174
23,0.004530810751794591,0.09416270731324727,0.16338843414151452,0.16338843414151452,0.1634884341415145,0.1635884341415145,0.1635884341415145,0.1635884341415145,0.1635884341415145,0.16832568587113342
24,0.0048384394485492645,0.09690667376472833,0.16381421876308483,0.16381421876308483,0.16391421876308482,0.1640142187630848,0.1640142187630848,0.1640142187630848,0.1640142187630848,0.16852716904439807
25,0.0051669552271643914,0.09967381011145388,0.16424026383239768,0.16424026383239768,0.16434026383239767,0.16444026383239765,0.16444026383239765,0.16444026383239765,0.16444026383239765,0.16872890971845414
26,0.005517776258939494,0.10246431199868988,0.1646665385919503,0.1646665385919503,0.16476653859195028,0.16486653859195027,0.16486653859195027,0.16486653859195027,0.16486653859195027,0.16893087713575977
27,0.005892417004825672,0.10527837672371942,0.16509301169883006,0.16509301169883006,0.16519301169883005,0.16529301169883004,0.16529301169883004,0.16529301169883004,0.16529301169883004,0.1691330399533597
28,0.006292494753209136,0.1081162032497926,0.16551965121655315,0.16551965121655315,0.16561965121655314,0.16571965121655313,0.16571965121655313,0.16571965121655313,0.16571965121655313,0.16933536623473816
29,0.006719736601591038,0.11097799222019378,0.16594642460680187,0.16594642460680187,0.16604642460680186,0.16614642460680185,0.16614642460680185,0.16614642460680185,0.16614642460680185,0.16953782344153479
30,0.007175986912302724,0.11386394597242766,0.16637329872105994,0.16637329872105994,0.16647329872105993,0.16657329872105991,0.16657329872105991,0.16657329872105991,0.16657329872105991,0.16974037842519424
31,0.007663215274442077,0.11677426855252532,0.16680023979214548,0.16680023979214548,0.16690023979214547,0.16700023979214546,0.16700023979214546,0.16700023979214546,0.16700023979214546,0.1699429974184991
32,0.008183525006401935,0.11970916572947071,0.16722721342563873,0.16722721342563873,0.16732721342563872,0.1674272134256387,0.1674272134256387,0.1674272134256387,0.1674272134256387,0.170145646026987
33,0.008739162235695066,0.12266884500974928,0.16765418459120496,0.16765418459120496,0.16775418459120495,0.16785418459120494,0.16785418459120494,0.16785418459120494,0.16785418459120494,0.1703482892202841
