Pw/Patm,H2O,H2O+CO2,H2O+CO2+O3,+aerosols,+N2O,+CH4,+O2,+N2,+Overlap
0.00123,0.053424882,0.160942914,0.161005646,0.161261358,0.161737806,0.161737806,0.161737806,0.161737806,0.167216682
0.00246,0.071774636,0.163471153,0.163527484,0.163733129,0.164080561,0.164080561,0.164080561,0.164080561,0.168499728
0.00369,0.085658573,0.165270352,0.165322015,0.165493647,0.165750817,0.165750817,0.165750817,0.165750817,0.169410109
0.00492,0.097195994,0.166682642,0.166730273,0.166876074,0.167066879,0.167066879,0.167066879,0.167066879,0.170127862
0.00614,0.107171473,0.167841566,0.167885466,0.168011928,0.168153146,0.168153146,0.168153146,0.168153146,0.1707234
0.00737,0.115925018,0.168812928,0.168853283,0.168964408,0.169068484,0.169068484,0.169068484,0.169068484,0.171229273
0.0086,0.123638775,0.169636535,0.169673499,0.169771533,0.169847877,0.169847877,0.169847877,0.169847877,0.171664602
0.00983,0.130448128,0.170341236,0.170374948,0.170461643,0.170517382,0.170517382,0.170517382,0.170517382,0.172043618
0.0111,0.136457794,0.170948633,0.170979228,0.171056205,0.171096726,0.171096726,0.171096726,0.171096726,0.172377033
0.0123,0.141750461,0.171475026,0.171502646,0.171571205,0.171600562,0.171600562,0.171600562,0.171600562,0.172672479
0.0135,0.146399214,0.171933497,0.171958292,0.172019673,0.172040895,0.172040895,0.172040895,0.172040895,0.17293624
0.0147,0.150467809,0.172334259,0.17235639,0.17241153,0.172426862,0.172426862,0.172426862,0.172426862,0.173172749
0.016,0.154018848,0.172686117,0.17270575,0.172755729,0.172766821,0.172766821,0.172766821,0.172766821,0.173386296
0.0172,0.157102542,0.172995426,0.173012742,0.173058139,0.173066194,0.173066194,0.173066194,0.173066194,0.173579095
0.0184,0.159782954,0.173269398,0.173284566,0.173326939,0.173332823,0.173332823,0.173332823,0.173332823,0.173755694
0.0197,0.162092829,0.173511055,0.173524259,0.173563814,0.173568154,0.173568154,0.173568154,0.173568154,0.17391552
0.0209,0.16407586,0.173724517,0.173735942,0.173772933,0.173776174,0.173776174,0.173776174,0.173776174,0.174060431
0.0221,0.165770607,0.173912929,0.173922755,0.17395714,0.173959596,0.173959596,0.173959596,0.173959596,0.174191322
0.0233,0.16721097,0.174079078,0.174087484,0.174119149,0.174121043,0.174121043,0.174121043,0.174121043,0.17430934
0.0246,0.168428505,0.174224534,0.174231687,0.174260732,0.174262225,0.174262225,0.174262225,0.174262225,0.174414729
