TS,rh,pa_hpa,t_a,pw_hpa,dw_ir,lw_s,esky_c,lw_c,zen,cs_period,w,q,he,tau,esky_t,lw_c_t,site
2012-05-04 13:36:00+00:00,24.3,899.6,289.54999999999995,4.523405628770375,279.8,292.1176327493,0.7371024771019641,293.75294379392375,81.37,True,0.0031432704761529297,0.003133421285536753,2934.5750005749965,1.2736529695730263,0.7201923761358072,287.0138646387551,DRA
2012-05-04 14:27:00+00:00,24.5,900.0,290.15,4.737729823447744,281.8,294.0755305217319,0.7398914300774756,297.316065104263,71.35,True,0.0032915194728433067,0.0032807209160631207,2936.9241221644747,1.2862530714029323,0.7236958621969678,290.80807985316017,DRA
2012-05-04 16:53:00+00:00,20.9,900.7,292.54999999999995,4.698657214828134,290.3,302.7134617406067,0.7393877630805553,307.06671873910443,42.37,True,0.003261681288774032,0.0032510773107412294,2941.03709506281,1.2842669510126934,0.7231465435890996,300.32176267331204,DRA
2012-05-04 17:31:00+00:00,19.8,901.0,293.04999999999995,4.5916860848924195,293.1,305.5206620934284,0.737998031493115,308.5902398635822,35.29,True,0.003185977714338616,0.0031758594967580744,2942.80058081471,1.2781725133889046,0.7214541255382876,301.67248712032386,DRA
2012-05-04 17:43:00+00:00,19.1,901.0,292.85,4.374764848117723,293.3,305.7863784389498,0.7351292557975896,306.5523853565367,33.17,True,0.0030347308257182154,0.003025549098603958,2942.80058081471,1.2653273790886046,0.7178530879798759,299.34814145987133,DRA
2012-05-09 17:46:00+00:00,8.5,900.7,301.25,3.2262414407520454,318.8,331.6916041891639,0.7185857502740742,335.5420108530993,31.66,True,0.002235895626118727,0.0022309075496861086,2941.03709506281,1.1897747322501413,0.6957101969741617,324.8603223410431,DRA
2012-05-26 23:14:00+00:00,17.6,896.1,292.25,3.8835396965813187,296.3,308.79694340731726,0.7283575121524539,301.2470223784353,48.22,True,0.0027072847542604266,0.00269997515269266,2914.0558327116373,1.2330377325628648,0.7085939817532637,293.0728708318311,DRA
2012-05-26 23:27:00+00:00,18.7,896.2,291.75,3.9993985682177566,295.0,307.5490980870117,0.7299915796385197,299.86196957286535,50.82,True,0.002788101596735225,0.0027803496992991265,2914.6412065132454,1.2404660098408928,0.7107506065371018,291.9582673225644,DRA
2012-05-26 23:29:00+00:00,17.9,896.2,292.35,3.974425001590906,302.0,314.6473790558118,0.7296413758648158,302.1912784808573,51.22,True,0.002770614216582975,0.0027629591227576254,2914.6412065132454,1.2388837351248534,0.7102925722627309,294.17769826049386,DRA
2012-06-06 15:41:00+00:00,16.6,901.5,290.15,3.210053676295206,279.4,291.6155195743021,0.7183330869098612,288.6531160549797,53.53,True,0.0022226556066370666,0.0022177263646985823,2945.7407677268893,1.1888721966852944,0.6954354406348775,279.4519848972441,DRA
2012-06-06 17:41:00+00:00,13.0,900.4,293.65,3.128659233233583,291.5,303.93041065356624,0.7170528917065045,302.29522835020515,29.79,True,0.002168756965115696,0.002164063637029934,2939.274079145707,1.1825105313165782,0.6934917267516754,292.36231011977117,DRA
2012-06-06 17:46:00+00:00,12.7,900.3,293.95,3.113473076548936,290.5,302.9848530642703,0.7168122035381129,303.43056677536964,28.85,True,0.002158434089277327,0.0021537852856956976,2938.686511586483,1.1813483185884015,0.693135291848745,293.407999221505,DRA
2012-06-06 18:35:00+00:00,12.1,899.7,294.75,3.1156003936633647,296.8,309.3751854271132,0.7168459550741876,306.76172680690786,20.26,True,0.0021613594143524996,0.0021566980147943084,2935.162202650328,1.1813009090379731,0.6931207431860191,296.60893607668584,DRA
2012-06-06 18:51:00+00:00,11.7,899.6,295.15,3.087105570939595,297.9,310.4364721076793,0.7163929015247877,308.2353922726706,17.9,True,0.0021417627509259934,0.0021371854068298226,2934.5750005749965,1.1791413819187553,0.6924573130187137,297.9368598657416,DRA
2012-06-06 18:53:00+00:00,11.7,899.6,295.15,3.087105570939595,297.4,309.9401461022859,0.7163929015247877,308.2353922726706,17.63,True,0.0021417627509259934,0.0021371854068298226,2934.5750005749965,1.1791413819187553,0.6924573130187137,297.9368598657416,DRA
2012-06-09 13:38:00+00:00,30.1,894.0,294.75,7.75037783878242,311.5,324.1984211814772,0.7739012023764463,331.17752501563837,77.58,True,0.005439302751306536,0.005409876793578993,2901.775056123783,1.435098585889182,0.7619081096430975,326.04529010436414,DRA
2012-06-09 13:40:00+00:00,30.1,894.0,294.85,7.797909505068927,311.6,324.37898905608154,0.7743785286025423,331.8317297146974,77.2,True,0.005472954539357987,0.005443164348329327,2901.775056123783,1.4372431203021898,0.7624181587909735,326.7065486100992,DRA
2012-06-19 17:40:00+00:00,10.9,894.8,303.65,4.752293565970755,341.4,354.5848497143565,0.7400786329497684,356.7229799455417,30.11,True,0.0033209810337077447,0.003309988624264773,2906.45072913457,1.2851479982970275,0.7233903571536178,348.67911648683275,DRA
2012-06-19 17:51:00+00:00,10.9,894.7,303.54999999999995,4.725155164973901,341.5,354.6850542793975,0.7397295633663333,356.0852662640088,28.02,True,0.00330228660570205,0.0032914174021013163,2905.8660870421013,1.283557273026523,0.7229499970515632,348.0080490823689,DRA
