,year,c1,c2,c3
0,2009,0.5277,2.1474,0.17
1,2010,0.54,2.0399,0.17
2,2011,0.5268,2.1765,0.17
3,2012,0.5349,2.1452,0.17
4,2013,0.5408,2.0532,0.17
5,2014,0.5483,2.0107,0.17
6,2015,0.5385,2.1603,0.17
7,2016,0.5396,2.0876,0.17
8,2017,0.547,1.9848,0.17
9,2018,0.5674,1.8179,0.17
10,2019,0.5852,1.6205,0.17
11,2020,0.5728,1.8054,0.17
12,2021,0.5695,1.8056,0.17
13,2022,0.5739,1.7739,0.17
