,year,c1,c2,c3
0,2000,0.6,1.3072,0.1
1,2001,0.6,1.3406,0.1
2,2002,0.6,1.3833,0.1
3,2003,0.6,1.4102,0.1
4,2004,0.6,1.3928,0.1
5,2005,0.6,1.3962,0.1
6,2006,0.6,1.3883,0.1
7,2007,0.6,1.3813,0.1
8,2008,0.6,1.3997,0.1
9,2009,0.6,1.3953,0.1
10,2010,0.6,1.4045,0.1
11,2011,0.6,1.4108,0.1
12,2012,0.6,1.4489,0.1
13,2013,0.6,1.4519,0.1
14,2014,0.6,1.4776,0.1
15,2015,0.6,1.4963,0.1
16,2016,0.6,1.4547,0.1
17,2017,0.6,1.4483,0.1
18,2018,0.6,1.4959,0.1
19,2019,0.6,1.5007,0.1
20,2020,0.6,1.5459,0.1
21,2021,0.6,1.5004,0.1
22,2022,0.6,1.5228,0.1
