,year,c1,c2,c3
0,2000,0.6,1.2695,0.15
1,2001,0.6,1.3032,0.15
2,2002,0.6,1.3481,0.15
3,2003,0.6,1.3759,0.15
4,2004,0.6,1.3598,0.15
5,2005,0.6,1.3604,0.15
6,2006,0.6,1.3556,0.15
7,2007,0.6,1.3464,0.15
8,2008,0.6,1.3658,0.15
9,2009,0.6,1.3616,0.15
10,2010,0.6,1.3675,0.15
11,2011,0.6,1.3758,0.15
12,2012,0.6,1.4144,0.15
13,2013,0.6,1.4183,0.15
14,2014,0.6,1.4452,0.15
15,2015,0.6,1.4612,0.15
16,2016,0.6,1.4189,0.15
17,2017,0.6,1.4137,0.15
18,2018,0.6,1.4608,0.15
19,2019,0.6,1.4669,0.15
20,2020,0.6,1.5116,0.15
21,2021,0.6,1.4645,0.15
22,2022,0.6,1.4875,0.15
