,year,c1,c2,c3
0,2000,0.6,1.5,0.1963
1,2001,0.6,1.5,0.1863
2,2002,0.6,1.5,0.1297
3,2003,0.6,1.5,0.1021
4,2004,0.6,1.5,0.1279
5,2005,0.6,1.5,0.1528
6,2006,0.6,1.5,0.1755
7,2007,0.6,1.5,0.1471
8,2008,0.6,1.5,0.1263
9,2009,0.6,1.5,0.1415
10,2010,0.6,1.5,0.0958
11,2011,0.6,1.5,0.1105
12,2012,0.6,1.5,0.0789
13,2013,0.6,1.5,0.0718
14,2014,0.6,1.5,0.0364
15,2015,0.6,1.5,0.0575
16,2016,0.6,1.5,0.0536
17,2017,0.6,1.5,0.0526
18,2018,0.6,1.5,0.0082
19,2019,0.6,1.5,-0.0432
20,2020,0.6,1.5,-0.0498
21,2021,0.6,1.5,-0.0234
22,2022,0.6,1.5,-0.0443
